claim_id,policy_id,claim_date,reported_date,closed_date,claim_type,claim_status,claim_amount,approved_amount,deductible_applied,adjuster_id,cause_of_loss,description,created_at,updated_at
CLM-0000001,POL-0000001,2021-05-09,2021-05-10,,FLOOD,UNDER_REVIEW,88440.44,0,0,ADJ-0168,TORNADO,Claim for vandalism damage,2021-05-10T00:00:00,2021-05-22T00:00:00
CLM-0000002,POL-0000010,2021-09-08,2021-09-19,,FIRE,OPEN,36503.49,0,0,ADJ-0042,FLOOD,Claim for vandalism damage,2021-09-19T00:00:00,2021-09-25T00:00:00
CLM-0000003,POL-0000010,2022-04-23,2022-04-28,,HAIL,APPROVED,37971.84,17867.11,500.0,ADJ-0047,TREE_FALL,Claim for sinkhole damage,2022-04-28T00:00:00,2022-05-04T00:00:00
CLM-0000004,POL-0000023,2024-11-24,2024-11-24,,OTHER,DENIED,142177.49,0,0,ADJ-0075,HURRICANE,Claim for vandalism damage,2024-11-24T00:00:00,2024-12-07T00:00:00
CLM-0000005,POL-0000023,2025-09-12,2025-09-20,,OTHER,OPEN,107455.04,0,0,ADJ-0077,VANDALISM,Claim for theft damage,2025-09-20T00:00:00,2025-10-07T00:00:00
CLM-0000006,POL-0000026,2022-02-23,2022-03-03,,PROPERTY_DAMAGE,UNDER_REVIEW,117595.51,0,0,ADJ-0057,WIND,Claim for tree fall damage,2022-03-03T00:00:00,2022-03-06T00:00:00
CLM-0000007,POL-0000026,2022-03-15,2022-03-17,,PROPERTY_DAMAGE,UNDER_REVIEW,133586.76,0,0,ADJ-0040,FIRE,Claim for vandalism damage,2022-03-17T00:00:00,2022-04-11T00:00:00
CLM-0000008,POL-0000026,2022-09-28,2022-10-06,,FLOOD,UNDER_REVIEW,82596.53,0,0,ADJ-0116,TREE_FALL,Claim for theft damage,2022-10-06T00:00:00,2022-10-19T00:00:00
CLM-0000009,POL-0000028,2023-10-31,2023-11-12,,MOLD,REOPENED,236196.64,0,0,ADJ-0065,THEFT,Claim for hail damage,2023-11-12T00:00:00,2023-11-29T00:00:00
CLM-0000010,POL-0000035,2024-11-08,2024-11-19,,WATER_DAMAGE,REOPENED,78290.34,0,0,ADJ-0146,BURST_PIPE,Claim for tornado damage,2024-11-19T00:00:00,2024-12-16T00:00:00
CLM-0000011,POL-0000035,2024-10-24,2024-11-03,,FIRE,DENIED,239605.13,0,0,ADJ-0188,LIGHTNING,Claim for sinkhole damage,2024-11-03T00:00:00,2024-11-05T00:00:00
CLM-0000012,POL-0000037,2025-02-04,2025-02-11,,MOLD,OPEN,161803.25,0,0,ADJ-0091,BURST_PIPE,Claim for fire damage,2025-02-11T00:00:00,2025-03-07T00:00:00
CLM-0000013,POL-0000049,2024-11-02,2024-11-14,,FLOOD,DENIED,61169.39,0,0,ADJ-0031,TORNADO,Claim for flood damage,2024-11-14T00:00:00,2024-12-08T00:00:00
CLM-0000014,POL-0000053,2023-06-17,2023-06-24,,PROPERTY_DAMAGE,UNDER_REVIEW,112382.99,0,0,ADJ-0021,HURRICANE,Claim for hail damage,2023-06-24T00:00:00,2023-06-28T00:00:00
CLM-0000015,POL-0000053,2023-06-01,2023-06-08,,OTHER,OPEN,77949.6,0,0,ADJ-0164,SINKHOLE,Claim for sinkhole damage,2023-06-08T00:00:00,2023-06-09T00:00:00
CLM-0000016,POL-0000056,2023-10-25,2023-11-03,,WIND_DAMAGE,DENIED,140288.47,0,0,ADJ-0023,THEFT,Claim for hurricane damage,2023-11-03T00:00:00,2023-11-14T00:00:00
CLM-0000017,POL-0000086,2023-03-28,2023-04-07,,THEFT,UNDER_REVIEW,210414.85,0,0,ADJ-0063,TREE_FALL,Claim for fire damage,2023-04-07T00:00:00,2023-04-28T00:00:00
CLM-0000018,POL-0000097,2023-08-03,2023-08-09,,PROPERTY_DAMAGE,UNDER_REVIEW,89745.59,0,0,ADJ-0132,LIGHTNING,Claim for hail damage,2023-08-09T00:00:00,2023-09-08T00:00:00
CLM-0000019,POL-0000101,2023-03-03,2023-03-16,,MOLD,APPROVED,106501.45,85335.22,1500.0,ADJ-0148,HURRICANE,Claim for theft damage,2023-03-16T00:00:00,2023-04-07T00:00:00
CLM-0000020,POL-0000103,2021-07-14,2021-07-15,,FLOOD,UNDER_REVIEW,22899.83,0,0,ADJ-0088,HURRICANE,Claim for flood damage,2021-07-15T00:00:00,2021-07-25T00:00:00
CLM-0000021,POL-0000106,2025-12-10,2025-12-17,,FLOOD,APPROVED,14863.4,5175.69,1000.0,ADJ-0179,VANDALISM,Claim for burst pipe damage,2025-12-17T00:00:00,2026-01-09T00:00:00
CLM-0000022,POL-0000108,2022-11-15,2022-11-18,,FLOOD,DENIED,68641.66,0,0,ADJ-0153,SINKHOLE,Claim for fire damage,2022-11-18T00:00:00,2022-11-21T00:00:00
CLM-0000023,POL-0000108,2022-12-11,2022-12-20,,LIABILITY,DENIED,129676.13,0,0,ADJ-0084,TORNADO,Claim for burst pipe damage,2022-12-20T00:00:00,2023-01-10T00:00:00
CLM-0000024,POL-0000117,2022-03-20,2022-03-23,,WATER_DAMAGE,OPEN,59559.37,0,0,ADJ-0089,THEFT,Claim for vandalism damage,2022-03-23T00:00:00,2022-04-22T00:00:00
CLM-0000025,POL-0000117,2022-03-16,2022-03-27,,THEFT,APPROVED,43656.24,15444.97,2500.0,ADJ-0138,TREE_FALL,Claim for hail damage,2022-03-27T00:00:00,2022-04-08T00:00:00
CLM-0000026,POL-0000139,2024-11-27,2024-12-06,,THEFT,REOPENED,201895.74,0,0,ADJ-0095,THEFT,Claim for sinkhole damage,2024-12-06T00:00:00,2024-12-27T00:00:00
CLM-0000027,POL-0000139,2024-10-31,2024-11-10,,OTHER,REOPENED,198050.73,0,0,ADJ-0140,HURRICANE,Claim for tornado damage,2024-11-10T00:00:00,2024-12-09T00:00:00
CLM-0000028,POL-0000146,2022-12-05,2022-12-05,,LIABILITY,REOPENED,162279.97,0,0,ADJ-0004,HURRICANE,Claim for vandalism damage,2022-12-05T00:00:00,2023-01-02T00:00:00
CLM-0000029,POL-0000151,2024-07-23,2024-08-01,,OTHER,UNDER_REVIEW,225824.85,0,0,ADJ-0111,HAIL,Claim for lightning damage,2024-08-01T00:00:00,2024-08-20T00:00:00
CLM-0000030,POL-0000151,2024-06-15,2024-06-23,2024-07-14,FLOOD,CLOSED,39349.07,15947.72,2500.0,ADJ-0094,VANDALISM,Claim for wind damage,2024-06-23T00:00:00,2024-07-14T00:00:00
CLM-0000031,POL-0000163,2023-04-09,2023-04-18,,HAIL,REOPENED,106593.47,0,0,ADJ-0120,FIRE,Claim for sinkhole damage,2023-04-18T00:00:00,2023-04-20T00:00:00
CLM-0000032,POL-0000183,2023-04-03,2023-04-11,,LIABILITY,DENIED,68090.84,0,0,ADJ-0197,FIRE,Claim for tornado damage,2023-04-11T00:00:00,2023-04-22T00:00:00
CLM-0000033,POL-0000183,2023-04-08,2023-04-11,,THEFT,UNDER_REVIEW,66923.1,0,0,ADJ-0146,TREE_FALL,Claim for flood damage,2023-04-11T00:00:00,2023-04-20T00:00:00
CLM-0000034,POL-0000185,2024-12-05,2024-12-07,,FIRE,APPROVED,224502.57,155585.54,2500.0,ADJ-0066,TORNADO,Claim for hurricane damage,2024-12-07T00:00:00,2024-12-16T00:00:00
CLM-0000035,POL-0000210,2022-10-16,2022-10-29,,PROPERTY_DAMAGE,UNDER_REVIEW,54714.08,0,0,ADJ-0174,TREE_FALL,Claim for theft damage,2022-10-29T00:00:00,2022-11-22T00:00:00
CLM-0000036,POL-0000213,2023-06-23,2023-06-24,,WATER_DAMAGE,UNDER_REVIEW,119724.47,0,0,ADJ-0182,SINKHOLE,Claim for tree fall damage,2023-06-24T00:00:00,2023-07-13T00:00:00
CLM-0000037,POL-0000219,2025-05-18,2025-05-31,,FLOOD,UNDER_REVIEW,64563.12,0,0,ADJ-0149,LIGHTNING,Claim for fire damage,2025-05-31T00:00:00,2025-06-08T00:00:00
CLM-0000038,POL-0000235,2021-12-09,2021-12-23,2022-06-10,PROPERTY_DAMAGE,CLOSED,45050.9,42237.02,5000.0,ADJ-0011,BURST_PIPE,Claim for tornado damage,2021-12-23T00:00:00,2022-06-10T00:00:00
CLM-0000039,POL-0000235,2021-11-22,2021-11-29,,PROPERTY_DAMAGE,REOPENED,111872.23,0,0,ADJ-0032,HURRICANE,Claim for wind damage,2021-11-29T00:00:00,2021-11-30T00:00:00
CLM-0000040,POL-0000239,2025-08-04,2025-08-18,2025-11-08,WATER_DAMAGE,CLOSED,57218.46,30929.1,500.0,ADJ-0023,TREE_FALL,Claim for wind damage,2025-08-18T00:00:00,2025-11-08T00:00:00
CLM-0000041,POL-0000251,2021-10-29,2021-10-31,2021-11-07,WIND_DAMAGE,CLOSED,18664.2,16510.14,1500.0,ADJ-0019,BURST_PIPE,Claim for hurricane damage,2021-10-31T00:00:00,2021-11-07T00:00:00
CLM-0000042,POL-0000251,2022-01-17,2022-01-30,,WATER_DAMAGE,UNDER_REVIEW,40311.13,0,0,ADJ-0009,TREE_FALL,Claim for hurricane damage,2022-01-30T00:00:00,2022-02-15T00:00:00
