property_id,street_address,city,state,zip_code,county,latitude,longitude,year_built,square_footage,construction_type,roof_type,stories,occupancy_type,flood_zone,wind_zone,property_value,created_at,updated_at
PROP-0000001,3757 Cedar Ave,Houston,TX,79379,Houston County,26.4779602,-105.4354399,1985,900,FRAME,TILE,1,PRIMARY,VE,5,675718.15,2021-05-16T00:00:00,2021-09-07T00:00:00
PROP-0000002,2715 Hickory Way,Naperville,IL,61045,Naperville County,27.6431515,-81.8826248,1950,2900,FRAME,SHINGLE,1,RENTAL,C,5,455619.63,2024-04-03T00:00:00,2024-04-14T00:00:00
PROP-0000003,9144 Elm Ct,Jackson,MS,39534,Jackson County,36.9777212,-121.9837271,1998,2200,CONCRETE,SHINGLE,2,PRIMARY,X,3,723842.63,2020-06-10T00:00:00,2020-09-11T00:00:00
PROP-0000004,4474 Hickory Ave,Shreveport,LA,70991,Shreveport County,27.909357,-91.9184209,1995,1800,STEEL,FLAT,1,SECONDARY,C,1,405248.26,2021-03-05T00:00:00,2021-03-13T00:00:00
PROP-0000005,3556 Bay Ct,Macon,GA,30693,Macon County,33.4869314,-85.0739412,1984,4900,STEEL,TILE,1,SECONDARY,B,5,688376.03,2020-05-15T00:00:00,2020-10-11T00:00:00
PROP-0000006,8448 Cypress Ave,Huntsville,AL,35124,Huntsville County,27.5983024,-116.9607919,1978,3500,WOOD,SHINGLE,1,VACANT,B,5,1302307.18,2020-10-10T00:00:00,2020-10-12T00:00:00
PROP-0000007,4471 Walnut Ct,Corpus Christi,TX,75747,Corpus Christi County,32.3910093,-104.0361569,2018,2400,WOOD,TILE,2,PRIMARY,B,5,944737.7,2024-03-17T00:00:00,2024-04-25T00:00:00
PROP-0000008,8789 Bay St,Savannah,GA,31951,Savannah County,33.306297,-119.0778201,2019,3100,CONCRETE,TILE,1,PRIMARY,AE,4,1238753.02,2024-05-13T00:00:00,2024-09-26T00:00:00
PROP-0000009,2805 Elm Way,Baton Rouge,LA,70379,Baton Rouge County,37.8395083,-93.6458242,2010,2700,STEEL,WOOD_SHAKE,2,VACANT,X500,1,432025.97,2023-01-30T00:00:00,2023-02-15T00:00:00
PROP-0000010,9741 Pine St,Atlanta,GA,30290,Atlanta County,26.000854,-121.0343856,2020,1000,CONCRETE,SHINGLE,2,RENTAL,X500,2,845712.18,2021-04-16T00:00:00,2021-09-09T00:00:00
PROP-0000011,7849 Walnut Way,Rockford,IL,60622,Rockford County,26.6478238,-105.033748,1981,3500,STEEL,FLAT,2,PRIMARY,AE,1,651722.22,2024-05-25T00:00:00,2024-08-19T00:00:00
PROP-0000012,8886 Cypress Blvd,Dallas,TX,77733,Dallas County,29.7352675,-113.0085163,1974,1200,STEEL,SLATE,1,PRIMARY,AE,2,316161.78,2021-01-24T00:00:00,2021-05-28T00:00:00
PROP-0000013,2797 Palm St,Gulfport,MS,39243,Gulfport County,40.7508073,-89.4543083,2001,2600,STEEL,WOOD_SHAKE,3,VACANT,V,2,501325.11,2020-04-30T00:00:00,2020-05-14T00:00:00
PROP-0000014,921 Birch Pl,Chicago,IL,61677,Chicago County,27.6763564,-81.7257283,1990,1300,MASONRY,SHINGLE,2,SECONDARY,X,1,1417066.5,2020-04-27T00:00:00,2020-09-19T00:00:00
PROP-0000015,9662 Birch Ct,Charleston,SC,29436,Charleston County,36.3853416,-110.17591,1960,2400,STEEL,TILE,2,RENTAL,X500,3,1399206.03,2022-05-08T00:00:00,2022-05-26T00:00:00
PROP-0000016,1300 Willow Dr,Jacksonville,FL,33643,Jacksonville County,27.2517617,-108.6436113,2022,1200,MASONRY,METAL,1,VACANT,B,5,1477071.7,2020-07-23T00:00:00,2021-01-06T00:00:00
PROP-0000017,1797 Bay Blvd,Los Angeles,CA,91624,Los Angeles County,40.125116,-91.3336659,2020,1700,CONCRETE,METAL,2,RENTAL,VE,3,797680.86,2021-09-05T00:00:00,2021-11-08T00:00:00
PROP-0000018,822 Oak Ct,Miami,FL,34426,Miami County,35.8309274,-112.4739685,2004,3600,WOOD,WOOD_SHAKE,2,PRIMARY,AE,1,1421972.33,2021-07-20T00:00:00,2022-01-12T00:00:00
PROP-0000019,9643 Willow Blvd,Lake Charles,LA,70626,Lake Charles County,25.7110906,-107.9553333,1954,1000,CONCRETE,TILE,2,PRIMARY,C,5,1335471.28,2022-01-26T00:00:00,2022-05-10T00:00:00
PROP-0000020,3000 Bay Way,Springfield,IL,60032,Springfield County,37.521596,-109.3838394,1980,3400,MANUFACTURED,WOOD_SHAKE,2,RENTAL,V,1,623209.25,2020-11-28T00:00:00,2020-12-07T00:00:00
PROP-0000021,5828 Elm Dr,Gulfport,MS,38913,Gulfport County,36.2205641,-106.4674969,1975,2500,FRAME,METAL,1,VACANT,C,1,243785.29,2022-07-31T00:00:00,2022-10-05T00:00:00
PROP-0000022,1876 Birch Way,Lake Charles,LA,70550,Lake Charles County,32.418696,-80.6936226,1983,1500,STEEL,SLATE,1,PRIMARY,X,1,818286.89,2020-03-19T00:00:00,2020-08-03T00:00:00
PROP-0000023,5509 Birch Ct,Myrtle Beach,SC,29148,Myrtle Beach County,33.6210826,-94.6567122,2005,2800,STEEL,WOOD_SHAKE,1,SECONDARY,VE,4,1024199.8,2020-05-23T00:00:00,2020-08-28T00:00:00
PROP-0000024,6753 Willow St,Lake Charles,LA,70446,Lake Charles County,28.5731056,-89.4266116,2022,4600,MANUFACTURED,METAL,2,VACANT,VE,5,751924.38,2021-09-08T00:00:00,2021-10-21T00:00:00
PROP-0000025,5591 Maple Dr,Austin,TX,79349,Austin County,28.8188913,-115.238283,2015,900,FRAME,TILE,3,PRIMARY,X500,4,1338314.41,2023-09-21T00:00:00,2024-02-15T00:00:00
PROP-0000026,4097 Cedar St,Greenville,SC,29164,Greenville County,28.7202993,-88.6191663,2013,4100,STEEL,SHINGLE,2,PRIMARY,X500,2,1218011.57,2022-03-29T00:00:00,2022-09-15T00:00:00
PROP-0000027,8370 Palm Pl,San Diego,CA,95730,San Diego County,37.6421425,-103.1143248,2006,2400,MASONRY,WOOD_SHAKE,1,VACANT,VE,3,704619.08,2023-06-08T00:00:00,2023-08-20T00:00:00
PROP-0000028,8949 Maple Blvd,Myrtle Beach,SC,29239,Myrtle Beach County,31.5116,-117.2765683,1992,2100,FRAME,FLAT,2,VACANT,X,1,373704.83,2021-10-16T00:00:00,2022-01-31T00:00:00
PROP-0000029,7914 Oak Ct,Birmingham,AL,35959,Birmingham County,39.5086152,-82.0490651,2023,3400,WOOD,WOOD_SHAKE,2,SECONDARY,X500,2,467568.14,2022-02-18T00:00:00,2022-06-22T00:00:00
PROP-0000030,6724 Hickory Blvd,Jacksonville,FL,34669,Jacksonville County,40.6322076,-80.848233,1993,4200,FRAME,FLAT,2,PRIMARY,AE,4,272693.27,2023-10-01T00:00:00,2024-01-27T00:00:00
PROP-0000031,5463 Pine Pl,New Orleans,LA,70553,New Orleans County,37.940905,-107.3184465,1983,3400,CONCRETE,SHINGLE,2,PRIMARY,C,2,1003204.61,2022-02-15T00:00:00,2022-07-31T00:00:00
PROP-0000032,433 Birch Blvd,Miami,FL,32726,Miami County,33.050538,-118.9668644,1981,2100,STEEL,WOOD_SHAKE,1,RENTAL,V,5,942291.44,2021-02-12T00:00:00,2021-03-13T00:00:00
PROP-0000033,520 Bay Ln,Shreveport,LA,70996,Shreveport County,40.4364446,-107.4864938,1963,2000,FRAME,SLATE,2,SECONDARY,AE,3,1287416.4,2023-03-31T00:00:00,2023-08-31T00:00:00
PROP-0000034,8828 Palm Ct,Fort Worth,TX,75474,Fort Worth County,36.0082353,-123.4433054,1955,3400,STEEL,SHINGLE,2,RENTAL,X500,2,698391.75,2021-12-12T00:00:00,2022-04-24T00:00:00
PROP-0000035,9807 Elm Ct,Asheville,NC,27721,Asheville County,29.7417802,-104.164712,2009,3700,WOOD,SLATE,2,RENTAL,A,4,1288353.03,2022-06-11T00:00:00,2022-07-27T00:00:00
PROP-0000036,5676 Elm Ln,Gulfport,MS,39411,Gulfport County,33.7826633,-115.5935174,1995,2300,MANUFACTURED,FLAT,2,SECONDARY,X500,4,716407.86,2021-06-13T00:00:00,2021-06-17T00:00:00
PROP-0000037,4086 Elm Ct,Austin,TX,78080,Austin County,34.0256728,-105.2778322,1978,4300,CONCRETE,METAL,2,RENTAL,B,3,407364.02,2022-04-08T00:00:00,2022-05-27T00:00:00
PROP-0000038,3133 Pine Dr,Atlanta,GA,31545,Atlanta County,37.317945,-81.029291,2018,4100,WOOD,METAL,3,SECONDARY,B,2,592451.12,2024-04-09T00:00:00,2024-06-25T00:00:00
